"name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","log_price","days_since_last_review"
"Clean & quiet apt home by the park","Brooklyn","Kensington",40.64749,-73.97237,"Private room",149,1,9,"2018-10-19",0.21,6,365,5.01063529409626,262
"Skylit Midtown Castle","Manhattan","Midtown",40.75362,-73.98377,"Entire home/apt",225,1,45,"2019-05-21",0.38,2,355,5.42053499927229,48
"THE VILLAGE OF HARLEM....NEW YORK !","Manhattan","Harlem",40.80902,-73.9419,"Private room",150,3,0,NA,0,1,365,5.01727983681492,NA
"Cozy Entire Floor of Brownstone","Brooklyn","Clinton Hill",40.68514,-73.95976,"Entire home/apt",89,1,270,"2019-07-05",4.64,1,194,4.49980967033027,3
"Entire Apt: Spacious Studio/Loft by central park","Manhattan","East Harlem",40.79851,-73.94399,"Entire home/apt",80,10,9,"2018-11-19",0.1,1,0,4.39444915467244,231
"Large Cozy 1 BR Apartment In Midtown East","Manhattan","Murray Hill",40.74767,-73.975,"Entire home/apt",200,3,74,"2019-06-22",0.59,1,129,5.30330490805908,16
"BlissArtsSpace!","Brooklyn","Bedford-Stuyvesant",40.68688,-73.95596,"Private room",60,45,49,"2017-10-05",0.4,1,0,4.11087386417331,641
"Large Furnished Room Near B'way ","Manhattan","Hell's Kitchen",40.76489,-73.98493,"Private room",79,2,430,"2019-06-24",3.47,1,220,4.38202663467388,14
"Cozy Clean Guest Room - Family Apt","Manhattan","Upper West Side",40.80178,-73.96723,"Private room",79,2,118,"2017-07-21",0.99,1,0,4.38202663467388,717
"Cute & Cozy Lower East Side 1 bdrm","Manhattan","Chinatown",40.71344,-73.99037,"Entire home/apt",150,1,160,"2019-06-09",1.33,4,188,5.01727983681492,29
"Beautiful 1br on Upper West Side","Manhattan","Upper West Side",40.80316,-73.96545,"Entire home/apt",135,5,53,"2019-06-22",0.43,1,6,4.91265488573605,16
"Central Manhattan/near Broadway","Manhattan","Hell's Kitchen",40.76076,-73.98867,"Private room",85,2,188,"2019-06-23",1.5,1,39,4.45434729625351,15
"Lovely Room 1, Garden, Best Area, Legal rental","Brooklyn","South Slope",40.66829,-73.98779,"Private room",89,4,167,"2019-06-24",1.34,3,314,4.49980967033027,14
"Wonderful Guest Bedroom in Manhattan for SINGLES","Manhattan","Upper West Side",40.79826,-73.96113,"Private room",85,2,113,"2019-07-05",0.91,1,333,4.45434729625351,3
"West Village Nest - Superhost","Manhattan","West Village",40.7353,-74.00525,"Entire home/apt",120,90,27,"2018-10-31",0.22,1,0,4.79579054559674,250
"Only 2 stops to Manhattan studio","Brooklyn","Williamsburg",40.70837,-73.95352,"Entire home/apt",140,2,148,"2019-06-29",1.2,1,46,4.94875989037817,9
"Perfect for Your Parents + Garden","Brooklyn","Fort Greene",40.69169,-73.97185,"Entire home/apt",215,2,198,"2019-06-28",1.72,1,321,5.37527840768417,10
"Chelsea Perfect","Manhattan","Chelsea",40.74192,-73.99501,"Private room",140,1,260,"2019-07-01",2.12,1,12,4.94875989037817,7
"Hip Historic Brownstone Apartment with Backyard","Brooklyn","Crown Heights",40.67592,-73.94694,"Entire home/apt",99,3,53,"2019-06-22",4.44,1,21,4.60517018598809,16
"Huge 2 BR Upper East  Cental Park","Manhattan","East Harlem",40.79685,-73.94872,"Entire home/apt",190,7,0,NA,0,2,249,5.25227342804663,NA
"Sweet and Spacious Brooklyn Loft","Brooklyn","Williamsburg",40.71842,-73.95718,"Entire home/apt",299,3,9,"2011-12-28",0.07,1,0,5.7037824746562,2749
"CBG CtyBGd HelpsHaiti rm#1:1-4","Brooklyn","Park Slope",40.68069,-73.97706,"Private room",130,2,130,"2019-07-01",1.09,6,347,4.87519732320115,7
"CBG Helps Haiti Room#2.5","Brooklyn","Park Slope",40.67989,-73.97798,"Private room",80,1,39,"2019-01-01",0.37,6,364,4.39444915467244,188
"CBG Helps Haiti Rm #2","Brooklyn","Park Slope",40.68001,-73.97865,"Private room",110,2,71,"2019-07-02",0.61,6,304,4.70953020131233,6
"MAISON DES SIRENES1,bohemian apartment","Brooklyn","Bedford-Stuyvesant",40.68371,-73.94028,"Entire home/apt",120,2,88,"2019-06-19",0.73,2,233,4.79579054559674,19
"Sunny Bedroom Across Prospect Park","Brooklyn","Windsor Terrace",40.65599,-73.97519,"Private room",60,1,19,"2019-06-23",1.37,2,85,4.11087386417331,15
"Magnifique Suite au N de Manhattan - vue Cloitres","Manhattan","Inwood",40.86754,-73.92639,"Private room",80,4,0,NA,0,1,0,4.39444915467244,NA
"Midtown Pied-a-terre","Manhattan","Hell's Kitchen",40.76715,-73.98533,"Entire home/apt",150,10,58,"2017-08-13",0.49,1,75,5.01727983681492,694
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM","Manhattan","Inwood",40.86482,-73.92106,"Private room",44,3,108,"2019-06-15",1.11,3,311,3.80666248977032,23
"Modern 1 BR / NYC / EAST VILLAGE","Manhattan","East Village",40.7292,-73.98542,"Entire home/apt",180,14,29,"2019-04-19",0.24,1,67,5.19849703126583,80
"front room/double bed","Manhattan","Harlem",40.82245,-73.95104,"Private room",50,3,242,"2019-06-01",2.04,3,355,3.93182563272433,37
"Spacious 1 bedroom in luxe building","Manhattan","Harlem",40.81305,-73.95466,"Private room",52,2,88,"2019-06-14",1.42,1,255,3.97029191355212,24
"Loft in Williamsburg Area w/ Roof","Brooklyn","Greenpoint",40.72219,-73.93762,"Private room",55,4,197,"2019-06-15",1.65,3,284,4.02535169073515,23
"back room/bunk beds","Manhattan","Harlem",40.8213,-73.95318,"Private room",50,3,273,"2019-07-01",2.37,3,359,3.93182563272433,7
"Large B&B Style rooms","Brooklyn","Bedford-Stuyvesant",40.6831,-73.95473,"Private room",70,1,74,"2019-05-12",0.66,2,269,4.26267987704132,57
"Lovely room 2 & garden; Best area, Legal rental","Brooklyn","South Slope",40.66869,-73.9878,"Private room",89,4,168,"2019-06-21",1.41,3,340,4.49980967033027,17
"Clean and Quiet in Brooklyn","Brooklyn","Bedford-Stuyvesant",40.68876,-73.94312,"Private room",35,60,0,NA,0,1,365,3.58351893845611,NA
"Cute apt in artist's home","Brooklyn","Bushwick",40.70186,-73.92745,"Entire home/apt",85,2,231,"2019-06-22",1.96,2,22,4.45434729625351,16
"Country space in the city","Brooklyn","Flatbush",40.63702,-73.96327,"Private room",150,1,0,NA,0,1,365,5.01727983681492,NA
"LowerEastSide apt share shortterm 1","Manhattan","Lower East Side",40.71401,-73.98917,"Shared room",40,1,214,"2019-07-05",1.81,4,188,3.71357206670431,3
"ENJOY Downtown NYC!","Manhattan","East Village",40.7229,-73.98199,"Private room",68,2,245,"2019-06-21",2.08,2,96,4.23410650459726,17
"Beautiful Sunny Park Slope Brooklyn","Brooklyn","South Slope",40.66278,-73.97966,"Entire home/apt",120,3,15,"2019-05-27",0.39,1,345,4.79579054559674,42
"1bdr w private bath. in lofty apt","Brooklyn","Fort Greene",40.69673,-73.97584,"Private room",120,7,25,"2018-09-30",0.23,1,311,4.79579054559674,281
"West Side Retreat","Manhattan","Upper West Side",40.79009,-73.97927,"Private room",135,4,81,"2019-06-16",0.69,1,273,4.91265488573605,22
"BEST BET IN HARLEM","Manhattan","Harlem",40.81175,-73.94478,"Entire home/apt",150,7,97,"2019-06-13",0.84,1,309,5.01727983681492,25
"Entire apartment in central Brooklyn neighborhood.","Brooklyn","Prospect-Lefferts Gardens",40.65944,-73.96238,"Entire home/apt",150,29,11,"2019-06-05",0.49,1,95,5.01727983681492,33
"1 Stop fr. Manhattan! Private Suite,Landmark Block","Queens","Long Island City",40.74771,-73.9474,"Private room",130,3,248,"2019-07-01",2.25,1,215,4.87519732320115,7
"Charming Brownstone 3 - Near PRATT","Brooklyn","Bedford-Stuyvesant",40.68111,-73.95591,"Entire home/apt",110,7,61,"2019-05-25",0.52,1,265,4.70953020131233,44
"bright and stylish duplex","Brooklyn","Bedford-Stuyvesant",40.68554,-73.9409,"Entire home/apt",115,3,11,"2017-01-01",0.1,1,0,4.75359019110636,918
"Fort Greene brownstone ","Brooklyn","Fort Greene",40.69142,-73.97376,"Private room",80,3,135,"2019-06-17",1.16,2,192,4.39444915467244,21
"Blue Room for 2 in Brownstone for $1350 monthly","Brooklyn","Bedford-Stuyvesant",40.68043,-73.93934,"Private room",80,1,112,"2019-06-16",1.01,3,251,4.39444915467244,22
"Cozy 1BD on Central Park West in New York City","Manhattan","Upper West Side",40.78635,-73.97008,"Entire home/apt",151,2,73,"2019-07-07",0.63,1,302,5.02388052084628,1
"* ORIGINAL BROOKLYN LOFT *","Brooklyn","Williamsburg",40.7042,-73.9356,"Entire home/apt",228,3,82,"2019-05-17",0.7,1,140,5.43372200355424,52
"Greenpoint Place...Has It All! ","Brooklyn","Greenpoint",40.73506,-73.95392,"Entire home/apt",144,2,328,"2019-06-29",2.82,1,234,4.97673374242057,9
"Beautiful Apartment in Manhattan!!!","Manhattan","Kips Bay",40.73961,-73.98074,"Entire home/apt",200,7,19,"2019-03-25",0.22,1,257,5.30330490805908,105
"Williamsburg 1 bedroom Apartment","Brooklyn","Williamsburg",40.70881,-73.9593,"Entire home/apt",150,30,105,"2019-06-22",0.9,1,30,5.01727983681492,16
"Great Location, Manhattan Bedroom!","Manhattan","Lower East Side",40.72004,-73.99104,"Private room",110,5,19,"2019-05-18",0.17,1,301,4.70953020131233,51
"Best Location in NYC! TIMES SQUARE!","Manhattan","Hell's Kitchen",40.75531,-73.99293,"Private room",69,2,289,"2019-06-09",2.49,2,294,4.24849524204936,29
"Room in Greenpoint Loft w/ Roof","Brooklyn","Greenpoint",40.72401,-73.93788,"Private room",49,4,138,"2019-06-04",1.19,3,320,3.91202300542815,34
"**Bright Nolita Apt w Doorman/Elevators/Gym**","Manhattan","SoHo",40.7221,-73.99775,"Entire home/apt",180,30,21,"2019-06-29",0.3,1,154,5.19849703126583,9
"Very, very cozy place","Brooklyn","Williamsburg",40.71185,-73.96204,"Private room",80,2,42,"2019-06-30",0.38,1,263,4.39444915467244,8
"Sunny & Spacious Chelsea Apartment","Manhattan","Chelsea",40.74623,-73.9953,"Entire home/apt",375,180,5,"2018-11-03",0.12,1,180,5.92958914338989,247
"2 bedroom - Upper East Side-great for kids","Manhattan","Upper East Side",40.77065,-73.95269,"Entire home/apt",250,2,66,"2019-03-30",0.57,2,231,5.52545293913178,100
"Comfortable 4-bedroom apt in family house.","Brooklyn","Prospect Heights",40.67811,-73.96428,"Entire home/apt",200,30,143,"2019-01-26",1.33,2,297,5.30330490805908,163
"Double Room w Private Deck Clinton Hill Best Area","Brooklyn","Clinton Hill",40.69,-73.96788,"Private room",55,7,27,"2017-09-30",0.23,2,292,4.02535169073515,646
"Your Heaven in Hells Kitchen","Manhattan","Hell's Kitchen",40.75979,-73.99119,"Private room",52,30,191,"2019-05-16",1.65,1,191,3.97029191355212,53
"Light-filled 2B duplex in the heart of Park Slope!","Brooklyn","Park Slope",40.67343,-73.98338,"Entire home/apt",225,3,4,"2017-09-24",0.16,1,0,5.42053499927229,652
"Sunny, Modern room in East Village!","Manhattan","East Village",40.72649,-73.97904,"Private room",80,1,338,"2019-07-01",4.72,2,72,4.39444915467244,7
"*HAVEN LOFT - Entire Floor - Six Windows - Bricks*","Brooklyn","Williamsburg",40.70933,-73.96792,"Entire home/apt",275,1,148,"2019-06-23",1.4,1,362,5.62040086571715,15
"Large Room in Amazing East Village Apt","Manhattan","East Village",40.72298,-73.98474,"Private room",99,1,106,"2019-06-21",1.26,2,336,4.60517018598809,17
"SpaHa Loft: Enormous and Bright","Manhattan","East Harlem",40.80164,-73.93922,"Entire home/apt",225,4,190,"2019-06-23",1.64,1,215,5.42053499927229,15
"Lovely EV Artist's Home","Manhattan","East Village",40.72162,-73.98008,"Entire home/apt",230,9,49,"2018-05-14",0.43,1,116,5.44241771052179,420
"Cool Room in Hell's Kitchen","Manhattan","Hell's Kitchen",40.76342,-73.98865,"Private room",51,7,23,"2019-06-01",0.43,1,88,3.95124371858143,37
"HARLEM, NEW YORK WELCOMES YOU!!","Manhattan","Washington Heights",40.83139,-73.94095,"Private room",65,2,49,"2019-06-18",1.6,2,336,4.18965474202643,20
"BLUE TRIM GUEST HOUSE","Brooklyn","Clinton Hill",40.68346,-73.96374,"Private room",105,2,105,"2019-06-26",0.92,1,304,4.66343909411207,12
"Charming East Village One Bedroom Flat","Manhattan","East Village",40.72828,-73.98801,"Entire home/apt",190,5,21,"2019-01-02",0.2,1,224,5.25227342804663,187
"Manhattan Room","Manhattan","Upper East Side",40.76865,-73.95058,"Private room",200,1,142,"2019-07-06",1.5,1,322,5.30330490805908,2
